dataset,split,m,seed,k,ndcg_at_10,mrr_at_10,candidate_recall_at_k,reranked_recall_at_100,delta_ndcg10_vs_projected_exact,delta_ci95_low,delta_ci95_high,pq_search_mean_ms,rerank_p50_ms,code_bytes_per_doc,serialized_index_bytes
fiqa,strict_confirmatory,84,17,200,0.37543636038117917,0.45422055653537136,0.6542720439711179,0.6337161209846395,-0.004682760762649581,-0.010201643175480625,0.0004362926718467378,0.37998996925091855,0.0642,84,5529806
fiqa,validation,84,2026,20,0.346252395003,0.4393015873015873,0.39119884004884004,0.39119884004884004,-0.04735752110034061,-0.06391795645725953,-0.03194711993601205,0.349584000185132,0.0149,84,5529806
fiqa,validation,84,2026,50,0.3720760654758761,0.45747301587301586,0.4957533078033078,0.4957533078033078,-0.021533850627464452,-0.0332697617552282,-0.010671548631133829,0.37755739968270063,0.02375,84,5529806
fiqa,validation,84,2026,100,0.3803109499033361,0.46345,0.5611293761793761,0.5611293761793761,-0.013298966200004463,-0.022624297997076857,-0.004945813376636298,0.38708140002563596,0.042,84,5529806
fiqa,validation,84,2026,200,0.3870329659096544,0.46638571428571424,0.6435069819069819,0.6239403152403151,-0.006576950193686153,-0.013825947421661324,-0.00014160357755461974,0.40195060009136796,0.07775,84,5529806
fiqa,strict_confirmatory,84,2026,20,0.3375113224787323,0.42245921516754853,0.4040181140875585,0.4040181140875585,-0.04260779866509652,-0.056214337840343236,-0.029540590410501676,0.35450725282979323,0.015,84,5529806
fiqa,strict_confirmatory,84,2026,50,0.3616062813933085,0.4418007789535567,0.4940196677465196,0.4940196677465196,-0.018512839750520257,-0.028196642400659718,-0.009266505046032089,0.3658123458103265,0.0214,84,5529806
fiqa,strict_confirmatory,84,2026,100,0.3680338175553407,0.4469999265138154,0.5634689727282319,0.5634689727282319,-0.012085303588488097,-0.019727549835972406,-0.005078986228152624,0.3813339507259015,0.0339,84,5529806
fiqa,strict_confirmatory,84,2026,200,0.37386191889906323,0.4515983245149912,0.6426911779921038,0.6277698082096231,-0.0062572022447655445,-0.011687102832673234,-0.0016636394719129555,0.3604739196569785,0.07925,84,5529806
fiqa,validation,84,42,20,0.34332849328023307,0.43821666666666664,0.3842551892551893,0.3842551892551893,-0.05028142282310745,-0.06641446979009993,-0.03455412013872785,0.372068400029093,0.0155,84,5529806
fiqa,validation,84,42,50,0.37419799445548707,0.4627880952380953,0.4979050172050172,0.4979050172050172,-0.019411921647853547,-0.03046645843022767,-0.009192789407841562,0.37528060004115105,0.0338,84,5529806
