dataset,split,dimension,explained_variance,projected_exact_ndcg10,projected_exact_recall100,pq_rerank_ndcg10,candidate_recall_at_100,pq_m,pq_code_bytes_per_doc,pq_serialized_bytes
scidocs,strict_confirmatory,384,0.9473797064159986,0.16278031951878738,0.3894583333333334,0.15989493540522098,0.3193125,48,48,1624838
scidocs,validation,512,0.9872228098907864,0.19906732362895269,0.42458333333333337,0.19986398572135167,0.3758333333333333,64,64,2166422
scidocs,strict_confirmatory,512,0.9872228098907864,0.16594951476032166,0.3858958333333334,0.16346701054628532,0.3221875,64,64,2166422
scidocs,validation,672,0.9984950378535733,0.19908737317230332,0.4305833333333333,0.19724742307418983,0.3771666666666667,84,84,2843402
scidocs,strict_confirmatory,672,0.9984950378535733,0.1661400589177412,0.3920625,0.16407669349178483,0.32304166666666667,84,84,2843402
scidocs,validation,768,1.0,0.19646361913511964,0.4315833333333333,0.19625849038263682,0.3730833333333334,96,96,3249590
scidocs,strict_confirmatory,768,1.0,0.1657567419468231,0.39027083333333334,0.1645592526118719,0.33222916666666663,96,96,3249590
scifact,validation,192,0.8055834191077198,0.6742841948981242,0.9392253811289658,0.6743617908502885,0.8978162340337865,24,24,321086
scifact,strict_confirmatory,192,0.8055834191077198,0.6664103955384716,0.9303333333333335,0.6666316706492107,0.9090000000000001,24,24,321086
scifact,validation,256,0.8789373615353664,0.6808184970234639,0.9355170992995469,0.6813504712121865,0.8990523279769261,32,32,428086
scifact,strict_confirmatory,256,0.8789373615353664,0.6829245235423502,0.9403333333333334,0.6831536428094764,0.9156666666666669,32,32,428086
scifact,validation,384,0.9609506221819614,0.7003368223447445,0.9478780387309436,0.7007198992878774,0.9089410795220436,48,48,642086
scifact,strict_confirmatory,384,0.9609506221819614,0.6884605975607327,0.936,0.6882820137243935,0.9206666666666669,48,48,642086
scifact,validation,512,0.9904863291798884,0.6990335955917768,0.9534404614750721,0.6992982566474518,0.9136794396374124,64,64,856086
scifact,strict_confirmatory,512,0.9904863291798884,0.6950387887352477,0.936,0.6958372804433365,0.9106666666666666,64,64,856086
scifact,validation,672,0.9989370729091241,0.6997858179497075,0.9484960857025134,0.6995158596445968,0.9126493613514626,84,84,1123586
scifact,strict_confirmatory,672,0.9989370729091241,0.6967798515468028,0.936,0.6960370587560317,0.9233333333333333,84,84,1123586
scifact,validation,768,1.0,0.6989332371725119,0.9484960857025134,0.6973168056392189,0.9019365471775855,96,96,1284086
scifact,strict_confirmatory,768,1.0,0.6954495319507862,0.9393333333333334,0.6943454970062439,0.8996666666666666,96,96,1284086
trec-covid,validation,192,0.7753619974859687,0.57874892892552,0.10842956688343056,0.5921987198436233,0.06809399958265326,24,24,4308662
trec-covid,strict_confirmatory,192,0.7753619974859687,0.6423049801119876,0.11257594876324659,0.6592555332245871,0.08807094555805983,24,24,4308662
trec-covid,validation,256,0.8481038260086458,0.6634540302083444,0.1271858525505486,0.6494058309340618,0.08301154751740877,32,32,5744854
trec-covid,strict_confirmatory,256,0.8481038260086458,0.6607848355210043,0.11859544504725691,0.6770495610265083,0.09065885491311557,32,32,5744854
trec-covid,validation,384,0.9430074785286668,0.7012908483199594,0.14431415387437357,0.673119045439577,0.09511545633311222,48,48,8617238
trec-covid,strict_confirmatory,384,0.9430074785286668,0.6722003367867855,0.1235411511448983,0.7031146739925829,0.09707513880541449,48,48,8617238
trec-covid,validation,512,0.986361955067997,0.6925070040814798,0.1442150643523164,0.6881153937250224,0.09397460362539936,64,64,11489622
trec-covid,strict_confirmatory,512,0.986361955067997,0.6835811114325593,0.12241509403066556,0.7003777548324919,0.09586486747535561,64,64,11489622
trec-covid,validation,672,0.9984462610950401,0.6929959629404109,0.14575446446577026,0.6962108487109032,0.08903000379058526,84,84,15080102
trec-covid,strict_confirmatory,672,0.9984462610950401,0.686702869521442,0.12068806462570669,0.7009933710393976,0.09345318791872982,84,84,15080102
trec-covid,validation,768,1.0,0.7018979689097378,0.14511579065062286,0.7049187287999872,0.0826637018455185,96,96,17234390
trec-covid,strict_confirmatory,768,1.0,0.695635362045381,0.12125037956359734,0.6853877858795535,0.08994539232639767,96,96,17234390
