encoder,scheme,n,overlap,condition,linkage_method,runs,top1_precision_mean,top1_precision_std,top1_precision_min,top1_precision_max,top1_recall_mean,top1_recall_std,top1_recall_min,top1_recall_max,top5_recall_mean,top5_recall_std,top5_recall_min,top5_recall_max,top10_recall_mean,top10_recall_std,top10_recall_min,top10_recall_max,mrr_mean,mrr_std,mrr_min,mrr_max,auc_mean,auc_std,auc_min,auc_max,forced_false_matches_mean,forced_false_matches_std,forced_false_matches_min,forced_false_matches_max,mnn_accepted_mean,mnn_accepted_std,mnn_accepted_min,mnn_accepted_max,mnn_precision_mean,mnn_precision_std,mnn_precision_min,mnn_precision_max,mnn_recall_mean,mnn_recall_std,mnn_recall_min,mnn_recall_max,mnn_false_matches_mean,mnn_false_matches_std,mnn_false_matches_min,mnn_false_matches_max,mnn_unmatched_a_mean,mnn_unmatched_a_std,mnn_unmatched_a_min,mnn_unmatched_a_max
e5-small,microkey_perdoc,10000,0.25,clean,combined_residual_invariants_nn,3,0.004066666666666666,0.0007234178138070235,0.0036,0.0049,0.016266666666666665,0.002893671255228094,0.0144,0.0196,0.07666666666666667,0.00637913264741637,0.0696,0.082,0.1324,0.007343023900274328,0.124,0.1376,0.06347631596820673,0.003606138441765414,0.05992078232015656,0.0671310137497701,0.613771952,0.0017013568659021146,0.612735744,0.6157355040000001,9959.333333333334,7.234178138070234,9951.0,9964.0,3556.6666666666665,30.501366089625122,3526.0,3587.0,0.004970629911458266,0.0006835783052328577,0.004181767493727348,0.005388542257515599,0.007066666666666666,0.0009237604307034011,0.006,0.0076,3539.0,32.51153641401772,3507.0,3572.0,6443.333333333333,30.501366089625122,6413.0,6474.0
e5-small,microkey_perdoc,10000,0.25,clean,gram_quantile_signature_nn,3,0.0036333333333333335,0.0006110100926607787,0.0031,0.0043,0.014533333333333334,0.002444040370643115,0.0124,0.0172,0.0672,0.004059556626036892,0.0628,0.0708,0.12146666666666667,0.0016653327995729095,0.1196,0.1228,0.05851326428041692,0.002332765886393563,0.056124143875112796,0.060785263320052844,0.5840665813333333,0.0014469819988670214,0.583146944,0.58573448,9963.666666666666,6.110100926607786,9957.0,9969.0,3711.3333333333335,45.081407845511364,3671.0,3760.0,0.004934053785125542,0.0007686698892443707,0.004086080087169709,0.005585106382978724,0.007333333333333333,0.001222020185321557,0.006,0.0084,3693.0,42.22558466143482,3656.0,3739.0,6288.666666666667,45.08140784551136,6240.0,6329.0
e5-small,microkey_perdoc,10000,0.25,clean,public_prefix_nn,3,0.25,0.0,0.25,0.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7500.0,0.0,7500.0,7500.0,4287.666666666667,40.525712002793156,4248.0,4329.0,0.5830239535652112,0.005393219140977707,0.5775005775005775,0.588276836158192,0.9998666666666667,0.0002309401076758249,0.9996,1.0,1788.0,40.0374824383352,1749.0,1829.0,5712.333333333333,40.525712002793156,5671.0,5752.0
e5-small,microkey_perdoc,10000,0.25,clean,raw_cross_key_cosine_control,3,0.0017666666666666666,0.00015275252316519463,0.0016,0.0019,0.007066666666666666,0.0006110100926607785,0.0064,0.0076,0.0332,0.004059556626036888,0.0296,0.0376,0.0644,0.003815756805667784,0.062,0.0688,0.03596105073938363,0.0019724467637771783,0.03408277277945608,0.03801580621477622,0.4993540693333334,0.007450847955614603,0.49081379199999997,0.5045258080000001,9982.333333333334,1.5275252316519468,9981.0,9984.0,4980.0,36.09709129556009,4939.0,5007.0,0.0014080750489972628,0.0005430333004216523,0.001001201441730076,0.002024701356549909,0.0028,0.0010583005244258362,0.002,0.004,4973.0,38.57460304397182,4929.0,5001.0,5020.0,36.09709129556009,4993.0,5061.0
e5-small,microkey_perdoc,10000,0.25,clean,residual_norm_nn,3,0.24993333333333334,5.773502691895622e-05,0.2499,0.25,0.9997333333333334,0.0002309401076758249,0.9996,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9999333333333333,0.00011547005383791244,0.9998,1.0,1.0,7.850462293418876e-17,0.9999999999999999,1.0,7500.666666666667,0.5773502691896257,7500.0,7501.0,5491.333333333333,33.231511150312336,5453.0,5512.0,0.4550307544279044,0.0026578477861485946,0.4533744557329463,0.45809646066385473,0.9994666666666667,0.00023094010767588897,0.9992,0.9996,2992.6666666666665,32.65475973473597,2955.0,3013.0,4508.666666666667,33.231511150312336,4488.0,4547.0
e5-small,microkey_perdoc,10000,0.25,clean,robust_neighbour_signature_nn,3,0.0044,0.0005291502622129182,0.004,0.005,0.0176,0.0021166010488516728,0.016,0.02,0.06773333333333334,0.006744874597302265,0.06,0.0724,0.12253333333333334,0.007655934517309645,0.114,0.1288,0.06054441001382297,0.0031392931878015742,0.057199240113981226,0.06342635036017284,0.6081051359999999,0.0025258074307975505,0.6052415999999999,0.610016304,9956.0,5.291502622129181,9950.0,9960.0,3524.6666666666665,26.950572040929544,3501.0,3554.0,0.006142538433440411,0.001028000890199049,0.005399261153736857,0.007315700619020821,0.008666666666666666,0.0015143755588800725,0.0076,0.0104,3503.0,23.643180835073778,3481.0,3528.0,6475.333333333333,26.950572040929544,6446.0,6499.0
e5-small,microkey_perdoc,10000,0.25,fp16,cell_label_chance_control,3,0.001599575889427855,1.917299643973113e-05,0.0015813758521656743,0.0016195925364404268,0.00639830355771142,7.669198575892452e-05,0.006325503408662697,0.006478370145761707,0.0319915177885571,0.00038345992879462525,0.031627517043313486,0.03239185072880854,0.0639830355771142,0.0007669198575892505,0.06325503408662697,0.06478370145761708,,,,,0.5,0.0,0.5,0.5,9984.004241105722,0.1917299643966882,9983.804074635596,9984.186241478343,,,,,,,,,,,,,,,,,,,,
e5-small,microkey_perdoc,10000,0.25,fp16,combined_prefix_residual_nn,3,0.24086666666666667,0.001357694123627748,0.2393,0.2417,0.9634666666666667,0.005430776494510992,0.9572,0.9668,0.9837333333333333,0.0024110855093366973,0.9812,0.986,0.9889333333333333,0.0026633312473917556,0.986,0.9912,0.9726596410144258,0.0037660931167151288,0.9683367307651101,0.9752307210846611,0.9915628,0.0008004599703271321,0.9906388159999999,0.9920454400000001,7591.333333333333,13.576941236277534,7583.0,7607.0,4134.333333333333,27.209067116190024,4103.0,4152.0,0.5752816750008637,0.004415067749157534,0.5713596914175506,0.5800633682671216,0.9513333333333334,0.003055050463303896,0.948,0.954,1756.0,29.103264421710495,1723.0,1778.0,5865.666666666667,27.209067116190024,5848.0,5897.0
e5-small,microkey_perdoc,10000,0.25,fp16,combined_residual_invariants_nn,3,0.004066666666666666,0.0007234178138070235,0.0036,0.0049,0.016266666666666665,0.002893671255228094,0.0144,0.0196,0.0768,0.006548282217497963,0.0696,0.0824,0.13226666666666667,0.0075718777944003635,0.1236,0.1376,0.06340894177417632,0.0035532109815680423,0.05991014248600082,0.06701417302035859,0.6137766026666666,0.0016997947217112386,0.612744416,0.615738464,9959.333333333334,7.234178138070234,9951.0,9964.0,3559.3333333333335,33.020195840323744,3527.0,3593.0,0.004967292486196171,0.0006867333230843838,0.004174784302811021,0.005387014459880919,0.007066666666666666,0.0009237604307034011,0.006,0.0076,3541.6666666666665,35.07610772781572,3508.0,3578.0,6440.666666666667,33.02019584032374,6407.0,6473.0
e5-small,microkey_perdoc,10000,0.25,fp16,gram_quantile_signature_nn,3,0.0036333333333333335,0.0006110100926607787,0.0031,0.0043,0.014533333333333334,0.002444040370643115,0.0124,0.0172,0.06733333333333333,0.004105281151557511,0.0628,0.0708,0.12186666666666666,0.0022030282189144414,0.1196,0.124,0.05852614569353325,0.002360263933312151,0.05612842510675241,0.06084707899064921,0.584072448,0.001439621316696822,0.5831599199999999,0.5857320319999999,9963.666666666666,6.110100926607786,9957.0,9969.0,3706.3333333333335,46.057934531775665,3667.0,3757.0,0.00494072908808214,0.0007695321595527852,0.004090537223888737,0.005589566143199361,0.007333333333333333,0.001222020185321557,0.006,0.0084,3688.0,43.266615305567875,3652.0,3736.0,6293.666666666667,46.057934531775665,6243.0,6333.0
e5-small,microkey_perdoc,10000,0.25,fp16,public_prefix_nn,3,0.25,0.0,0.25,0.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,7500.0,0.0,7500.0,7500.0,4287.333333333333,40.01666319589045,4248.0,4328.0,0.583068431428543,0.005325011140494322,0.577634011090573,0.588276836158192,0.9998666666666667,0.0002309401076758249,0.9996,1.0,1787.6666666666667,39.5263625107767,1749.0,1828.0,5712.666666666667,40.01666319589045,5672.0,5752.0
e5-small,microkey_perdoc,10000,0.25,fp16,residual_norm_nn,3,0.24150000000000002,0.001552417469626012,0.24,0.2431,0.9660000000000001,0.006209669878504048,0.96,0.9724,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9828666666666667,0.003068839809728984,0.9798666666666668,0.986,0.9997537040000001,5.75469327766759e-05,0.9997105119999999,0.999819032,7585.0,15.524174696260024,7569.0,7600.0,5473.333333333333,44.55707949735186,5422.0,5502.0,0.42815675848390583,0.0037591784859345454,0.42594614264919944,0.4324972334931759,0.9373333333333335,0.0008326663997864236,0.9364,0.938,3130.0,45.92385001282014,3077.0,3158.0,4526.666666666667,44.55707949735186,4498.0,4578.0
e5-small,microkey_perdoc,10000,0.25,fp16,robust_neighbour_signature_nn,3,0.004366666666666667,0.00047258156262526075,0.004,0.0049,0.01746666666666667,0.001890326250501043,0.016,0.0196,0.06760000000000001,0.006657326790837299,0.06,0.0724,0.12253333333333334,0.007655934517309645,0.114,0.1288,0.060482340207145026,0.003004530841522724,0.057243883397811716,0.06317929942153333,0.6081060426666666,0.002526740892838303,0.60524104,0.610016288,9956.333333333334,4.725815626252608,9951.0,9960.0,3526.0,26.210684844162312,3504.0,3555.0,0.0060454982759416175,0.0011375228138370786,0.005115089514066497,0.0073136427566807315,0.008533333333333332,0.001665332799572906,0.0072,0.0104,3504.6666666666665,22.722969289539016,3484.0,3529.0,6474.0,26.210684844162312,6445.0,6496.0
e5-small,microkey_perdoc,10000,0.25,int8,cell_label_chance_control,3,0.001599575889427855,1.917299643973113e-05,0.0015813758521656743,0.0016195925364404268,0.00639830355771142,7.669198575892452e-05,0.006325503408662697,0.006478370145761707,0.0319915177885571,0.00038345992879462525,0.031627517043313486,0.03239185072880854,0.0639830355771142,0.0007669198575892505,0.06325503408662697,0.06478370145761708,,,,,0.5,0.0,0.5,0.5,9984.004241105722,0.1917299643966882,9983.804074635596,9984.186241478343,,,,,,,,,,,,,,,,,,,,
e5-small,microkey_perdoc,10000,0.25,int8,combined_prefix_residual_nn,3,0.24076666666666668,0.0012741009902410894,0.2393,0.2416,0.9630666666666667,0.005096403960964358,0.9572,0.9664,0.9834666666666667,0.0030022213997860565,0.9804,0.9864,0.9893333333333333,0.0024110855093366973,0.9868,0.9916,0.9721901511927133,0.003669383279457058,0.9679877858257112,0.9747598076142451,0.9915006773333334,0.0007685242807702265,0.9906155839999999,0.991998784,7592.333333333333,12.741009902410928,7584.0,7607.0,4140.333333333333,24.419937209856485,4113.0,4160.0,0.5746047539944482,0.003814301414691471,0.5716007714561234,0.5788961828349137,0.9516,0.0028844410203711663,0.9484,0.954,1761.3333333333333,25.423086620891127,1732.0,1777.0,5859.666666666667,24.419937209856485,5840.0,5887.0
e5-small,microkey_perdoc,10000,0.25,int8,combined_residual_invariants_nn,3,0.004266666666666666,0.00046188021535170036,0.004,0.0048,0.017066666666666664,0.0018475208614068014,0.016,0.0192,0.0764,0.003999999999999997,0.0724,0.0804,0.13213333333333332,0.00921158690635514,0.122,0.14,0.06369189971828727,0.003111846485564827,0.060390738283656785,0.06657143870853266,0.6137724906666667,0.0016157626531707334,0.612836016,0.615638208,9957.333333333334,4.618802153517007,9952.0,9960.0,3550.3333333333335,1.5275252316519465,3549.0,3552.0,0.005351478551641065,0.0014078966104164837,0.0039447731755424065,0.0067605633802816905,0.0076,0.0019999999999999996,0.0056,0.0096,3531.3333333333335,4.725815626252609,3526.0,3535.0,6449.666666666667,1.5275252316519468,6448.0,6451.0
