encoder,d,d_pub,d_priv,scheme,n,seed,condition,evaluated_queries,view,linkage_method,n_queries,top1,top5,top10,mrr,median_rank,mean_rank,auc,note
e5-small,384,96,288,microkey_perdoc,500,11,clean,500,residual,known_anchor_ip_0.1,450,0.0022222222222222222,0.015555555555555555,0.035555555555555556,0.017173653128554796,213.0,221.44666666666666,0.5595950617283951,
e5-small,384,96,288,microkey_perdoc,500,11,fp16,500,residual,cell_label_chance_control,500,0.002000000000000001,0.01,0.02,0.013585646859981046,250.5,250.5,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,microkey_perdoc,500,11,fp16,500,residual,residual_norm_nn,500,0.612,0.994,1.0,0.7730333333333334,1.0,1.636,0.9982674,
e5-small,384,96,288,microkey_perdoc,500,11,fp16,500,residual,residual_norm_rank_assignment,500,0.946,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,microkey_perdoc,500,11,fp16,500,full_server,public_prefix_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,500,11,fp16,500,full_server,combined_prefix_norm_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,500,11,fp16,500,residual,known_anchor_ip_0.01,495,0.00202020202020202,0.006060606060606061,0.010101010101010102,0.012092551908298986,239.0,241.42626262626263,0.5137806346291195,
e5-small,384,96,288,microkey_perdoc,500,11,fp16,500,residual,known_anchor_ip_0.1,450,0.0022222222222222222,0.015555555555555555,0.035555555555555556,0.01717252070734048,213.0,221.44222222222223,0.559601975308642,
e5-small,384,96,288,microkey_perdoc,500,11,int8,500,residual,cell_label_chance_control,500,0.002000000000000001,0.01,0.02,0.013585646859981046,250.5,250.5,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,microkey_perdoc,500,11,int8,500,residual,residual_norm_nn,500,0.242,0.756,0.938,0.4494425071889468,3.0,4.206,0.9937451999999999,
e5-small,384,96,288,microkey_perdoc,500,11,int8,500,residual,residual_norm_rank_assignment,500,0.278,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,microkey_perdoc,500,11,int8,500,full_server,public_prefix_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,500,11,int8,500,full_server,combined_prefix_norm_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,500,11,int8,500,residual,known_anchor_ip_0.01,495,0.00202020202020202,0.006060606060606061,0.00808080808080808,0.011951114324305918,238.0,241.4949494949495,0.5139271502907866,
e5-small,384,96,288,microkey_perdoc,500,11,int8,500,residual,known_anchor_ip_0.1,450,0.0022222222222222222,0.015555555555555555,0.035555555555555556,0.017138051701302823,214.5,221.77333333333334,0.5593555555555556,
e5-small,384,96,288,microkey_perdoc,500,11,noise_0.01,500,residual,cell_label_chance_control,500,0.002000000000000001,0.01,0.02,0.013585646859981046,250.5,250.5,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,microkey_perdoc,500,11,noise_0.01,500,residual,residual_norm_nn,500,0.242,0.772,0.958,0.4595509164811797,3.0,3.91,0.9947218,
e5-small,384,96,288,microkey_perdoc,500,11,noise_0.01,500,residual,residual_norm_rank_assignment,500,0.292,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,microkey_perdoc,500,11,noise_0.01,500,full_server,public_prefix_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,500,11,noise_0.01,500,full_server,combined_prefix_norm_nn,500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,microkey_perdoc,500,11,noise_0.01,500,residual,known_anchor_ip_0.01,495,0.00202020202020202,0.006060606060606061,0.00808080808080808,0.011976587580242375,239.0,241.63030303030303,0.5137145189266401,
e5-small,384,96,288,microkey_perdoc,500,11,noise_0.01,500,residual,known_anchor_ip_0.1,450,0.0022222222222222222,0.015555555555555555,0.035555555555555556,0.017268708720832186,214.5,221.52,0.5594656790123457,
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,cell_label_chance_control,1000,0.031930141962286177,0.15965070981143087,0.31930141962286174,0.1269129633887017,17.75,18.0925,0.5,analytic chance level given disclosed cell labels
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,residual_norm_nn,1000,0.959,1.0,1.0,0.9791666666666667,1.0,1.043,0.998859,
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,residual_norm_rank_assignment,1000,1.0,,,,,,,one-to-one monotone assignment; only top-1 is defined
e5-small,384,96,288,cell_C64,2000,11,clean,1000,full_server,public_prefix_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,gram_signature_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,nn_graph_signature_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
e5-small,384,96,288,cell_C64,2000,11,clean,1000,residual,combined_invariants_nn,1000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
