encoder,scheme,n,condition,view,linkage_method,runs,top1_mean,top1_std,top1_min,top1_max,top5_mean,top5_std,top5_min,top5_max,top10_mean,top10_std,top10_min,top10_max,mrr_mean,mrr_std,mrr_min,mrr_max,median_rank_mean,median_rank_std,median_rank_min,median_rank_max,mean_rank_mean,mean_rank_std,mean_rank_min,mean_rank_max,auc_mean,auc_std,auc_min,auc_max
e5-small,cell_C64,2000,clean,residual,residual_norm_nn,3,0.96,0.0010000000000000009,0.959,0.961,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9796111111111112,0.0006309898162000489,0.9791666666666667,0.9803333333333334,1.0,0.0,1.0,1.0,1.0423333333333333,0.002081665999466117,1.04,1.044,0.99886535,2.221637909287378e-05,0.998847,0.99889005
e5-small,cell_C64,2000,clean,residual,residual_norm_rank_assignment,3,0.9993333333333334,0.0011547005383792527,0.998,1.0,,,,,,,,,,,,,,,,,,,,,,,,
e5-small,cell_C64,2000,fp16,full_server,combined_prefix_invariants_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,fp16,full_server,public_prefix_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,fp16,residual,cell_label_chance_control,3,0.032153631734210666,0.0002413602156625587,0.031930141962286177,0.032409577851403894,0.16076815867105332,0.0012068010783127955,0.15965070981143087,0.16204788925701946,0.32153631734210664,0.002413602156625591,0.31930141962286174,0.3240957785140389,0.12765354886011646,0.0007862307060840216,0.1269129633887017,0.1284786037235746,17.25,0.4330127018922193,17.0,17.75,17.93283333333333,0.17302047085051456,17.749,18.0925,0.5,0.0,0.5,0.5
e5-small,cell_C64,2000,fp16,residual,combined_invariants_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,fp16,residual,gram_signature_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,fp16,residual,known_anchor_ip_0.01,3,0.30438373193910234,0.014376995083725025,0.28816986855409504,0.3155778894472362,0.4002533733717459,0.01752718811954364,0.38018200202224467,0.41253791708796766,0.5247166062872503,0.01091411281904778,0.512639029322548,0.5338725985844287,0.37596929343188085,0.014442962231689586,0.35947773866339205,0.38636463449614555,9.333333333333334,0.5773502691896257,9.0,10.0,12.600141252267404,0.43605014964052907,12.230150753768845,13.080889787664308,0.5805623918363426,0.0020611764873791475,0.5783019176564045,0.5823377187444762
e5-small,cell_C64,2000,fp16,residual,known_anchor_ip_0.1,3,0.94368449856304,0.023282511912796188,0.9175946547884187,0.9623477297895903,0.9551705511310836,0.020038437745148352,0.9320712694877505,0.9678848283499446,0.9655343909862997,0.02223700347822075,0.9398663697104677,0.9789590254706534,0.9506251304995416,0.021326429960684547,0.9263600498840853,0.9663937417515773,1.0,0.0,1.0,1.0,1.7592517421786598,0.44014132620680085,1.4922222222222221,2.267260579064588,0.9545785024042078,0.018024239761912274,0.9343895863611787,0.969052340604531
e5-small,cell_C64,2000,fp16,residual,nn_graph_signature_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,fp16,residual,residual_norm_nn,3,0.9503333333333334,0.0035118845842842497,0.947,0.954,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9746111111111112,0.0015030832509409634,0.9731666666666666,0.9761666666666666,1.0,0.0,1.0,1.0,1.053,0.0020000000000000018,1.051,1.055,0.99866645,0.0002654613954985419,0.9984169999999999,0.99894545
e5-small,cell_C64,2000,fp16,residual,residual_norm_rank_assignment,3,0.7766666666666667,0.0011547005383792527,0.776,0.778,,,,,,,,,,,,,,,,,,,,,,,,
e5-small,cell_C64,2000,int8,full_server,combined_prefix_invariants_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,int8,full_server,public_prefix_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,int8,residual,cell_label_chance_control,3,0.032153631734210666,0.0002413602156625587,0.031930141962286177,0.032409577851403894,0.16076815867105332,0.0012068010783127955,0.15965070981143087,0.16204788925701946,0.32153631734210664,0.002413602156625591,0.31930141962286174,0.3240957785140389,0.12765354886011646,0.0007862307060840216,0.1269129633887017,0.1284786037235746,17.25,0.4330127018922193,17.0,17.75,17.93283333333333,0.17302047085051456,17.749,18.0925,0.5,0.0,0.5,0.5
e5-small,cell_C64,2000,int8,residual,combined_invariants_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,int8,residual,gram_signature_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,int8,residual,known_anchor_ip_0.01,3,0.2512491679834969,0.009211115103926873,0.24064711830131447,0.25728643216080405,0.3995813242146018,0.016949747377003912,0.38018200202224467,0.4115267947421638,0.5247166062872503,0.01091411281904778,0.512639029322548,0.5338725985844287,0.3462610857428185,0.01149351593020811,0.33302003728152485,0.35366063832481276,9.333333333333334,0.5773502691896257,9.0,10.0,12.6768097311634,0.4247421183439319,12.317587939698493,13.145601617795753,0.5403907478392993,0.004258050965645142,0.535495966245485,0.5432404232216359
e5-small,cell_C64,2000,int8,residual,known_anchor_ip_0.1,3,0.9192765077117903,0.013010283815194652,0.9053452115812918,0.9311111111111111,0.9551705511310836,0.020038437745148352,0.9320712694877505,0.9678848283499446,0.9655343909862997,0.02223700347822075,0.9398663697104677,0.9789590254706534,0.9380515850144442,0.015532990149466307,0.9202353282805218,0.9487512294925919,1.0,0.0,1.0,1.0,1.785877033386745,0.4282068400843867,1.5144444444444445,2.279510022271715,0.9424114057654666,0.020926892934399872,0.918939886210882,0.9591221705916908
e5-small,cell_C64,2000,int8,residual,nn_graph_signature_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,int8,residual,residual_norm_nn,3,0.807,0.01552417469625998,0.792,0.823,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8967,0.009111637857402167,0.8874500000000001,0.9056666666666667,1.0,0.0,1.0,1.0,1.2376666666666667,0.025106440076867412,1.214,1.264,0.9924328666666667,0.0008185237814708024,0.9916071000000001,0.99324395
e5-small,cell_C64,2000,int8,residual,residual_norm_rank_assignment,3,0.08666666666666667,0.006110100926607784,0.08,0.092,,,,,,,,,,,,,,,,,,,,,,,,
e5-small,cell_C64,2000,noise_0.01,full_server,combined_prefix_invariants_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,noise_0.01,full_server,public_prefix_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,noise_0.01,residual,cell_label_chance_control,3,0.032153631734210666,0.0002413602156625587,0.031930141962286177,0.032409577851403894,0.16076815867105332,0.0012068010783127955,0.15965070981143087,0.16204788925701946,0.32153631734210664,0.002413602156625591,0.31930141962286174,0.3240957785140389,0.12765354886011646,0.0007862307060840216,0.1269129633887017,0.1284786037235746,17.25,0.4330127018922193,17.0,17.75,17.93283333333333,0.17302047085051456,17.749,18.0925,0.5,0.0,0.5,0.5
e5-small,cell_C64,2000,noise_0.01,residual,combined_invariants_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,noise_0.01,residual,gram_signature_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,noise_0.01,residual,known_anchor_ip_0.01,3,0.25395362386587467,0.005592935005792157,0.2487360970677452,0.25985844287158744,0.39991633258981124,0.01717911337014972,0.38018200202224467,0.4115267947421638,0.5247166062872503,0.01091411281904778,0.512639029322548,0.5338725985844287,0.3483512063669642,0.008891354741608529,0.33824416940151136,0.35496742826856204,9.333333333333334,0.5773502691896257,9.0,10.0,12.667374621675956,0.4176854855272802,12.316582914572864,13.129423660262892,0.5404083134002672,0.0026155111323853527,0.5375738788963738,0.5427285169566425
e5-small,cell_C64,2000,noise_0.01,residual,known_anchor_ip_0.1,3,0.921484789216182,0.014192298569456174,0.9064587973273942,0.9346622369878184,0.9551705511310836,0.020038437745148352,0.9320712694877505,0.9678848283499446,0.9655343909862997,0.02223700347822075,0.9398663697104677,0.9789590254706534,0.9391058219978778,0.01657416352213081,0.9204209259048722,0.9520341994850583,1.0,0.0,1.0,1.0,1.7844111423797546,0.42996328956508373,1.5222222222222221,2.2806236080178173,0.9427774562498272,0.02127492195577157,0.9190606693419179,0.9601818228643539
e5-small,cell_C64,2000,noise_0.01,residual,nn_graph_signature_nn,3,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
e5-small,cell_C64,2000,noise_0.01,residual,residual_norm_nn,3,0.8326666666666666,0.01365039681962886,0.817,0.842,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9099666666666667,0.007244787398153616,0.9016166666666666,0.9145833333333334,1.0,0.0,1.0,1.0,1.2083333333333333,0.016165807537309534,1.199,1.227,0.9938094999999999,0.0007435328489717633,0.993151,0.9946158500000001
