cells,m,method,n_seeds,n_targets_per_seed,mean_anchors_in_target_cell,cosine_mean,cosine_ci_low,cosine_ci_high,r1_mean,r1_ci_low,r1_ci_high,r10_mean,r10_ci_low,r10_ci_high,coverage_any_mean,coverage_any_ci_low,coverage_any_ci_high,coverage_full_rank_mean,coverage_full_rank_ci_low,coverage_full_rank_ci_high
1,2048,oracle_true_residual,3,256,2048.0,1.0000000079849027,1.0000000023661484,1.000000013136423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2048,polar_ols,3,256,2048.0,1.000000004314271,1.0000000001522087,1.0000000090442585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2048,procrustes_partial,3,256,2048.0,1.0000000017877853,0.9999999980679776,1.0000000057474503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2048,ridge_alpha0,3,256,2048.0,1.0000000040394035,0.9999999994799741,1.000000008364421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,2048,ridge_cv,3,256,2048.0,1.0000000040394035,0.9999999989285565,1.0000000085108864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4096,no_attack,3,256,4096.0,-0.0059497628455588225,-0.010590442205837788,-0.001337766989844848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4096,ols_pinv,3,256,4096.0,1.0000000041778405,1.0000000001283997,1.0000000081181544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4096,oracle_true_residual,3,256,4096.0,1.0000000079849027,1.0000000022952342,1.0000000138764316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4096,polar_ols,3,256,4096.0,1.0000000047535114,1.0000000010837482,1.00000000883225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4096,procrustes_partial,3,256,4096.0,1.0000000012338788,0.9999999961787078,1.0000000056872327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4096,ridge_alpha0,3,256,4096.0,1.0000000041778405,0.9999999996288883,1.0000000081789837,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4096,ridge_cv,3,256,4096.0,1.0000000041778405,0.9999999997598277,1.0000000078823796,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8192,no_attack,3,256,8192.0,-0.0059497628455588225,-0.010116791345340565,-0.0014684332167802343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8192,ols_pinv,3,256,8192.0,1.0000000053181777,1.000000001081901,1.0000000095977915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8192,oracle_true_residual,3,256,8192.0,1.0000000079849027,1.0000000030185,1.0000000129387654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8192,polar_ols,3,256,8192.0,1.0000000036562657,0.9999999993495282,1.0000000079820888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8192,procrustes_partial,3,256,8192.0,1.0000000016919426,0.9999999974964118,1.000000005811257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8192,ridge_alpha0,3,256,8192.0,1.0000000053181777,1.0000000009594434,1.0000000094692745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8192,ridge_cv,3,256,8192.0,1.0000000053181777,1.0000000011453865,1.000000009631903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,16384,no_attack,3,256,16384.0,-0.0059497628455588225,-0.01003765563779462,-0.0018839576465404565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1,16384,ols_pinv,3,256,16384.0,1.000000005142178,1.0000000007883012,1.000000009538832,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
