cells,seed,m,cell,n_targets,n_anchors,rank,ridge_selected_relative_alpha,ridge_selected_absolute_alpha,ridge_cv_losses_json
1,31,90000,0,256,90000,288,0.0,0.0,"{""0.0"": 7.802002000179921e-17, ""1e-08"": 3.1830474144263254e-15, ""1e-06"": 2.5924861238198542e-14, ""0.0001"": 2.1409876584881575e-11, ""0.01"": 5.212964006054886e-08, ""1.0"": 8.887392661422329e-05, ""100.0"": 0.0003713989731807853}"
16,11,32,0,11,6,6,1e-08,1.1001383371724526e-09,"{""0.0"": 0.0003226620438854646, ""1e-08"": 0.000322662041426792, ""1e-06"": 0.000322662044203648, ""0.0001"": 0.0003226620455520295, ""0.01"": 0.0003226635318423645, ""1.0"": 0.00032647379324720797, ""100.0"": 0.0003377674832469837}"
16,11,32,1,21,0,0,,,{}
16,11,32,2,10,5,5,1e-08,1.0570176079213415e-09,"{""0.0"": 0.0003859577608356213, ""1e-08"": 0.00038595775832436617, ""1e-06"": 0.0003859577588347461, ""0.0001"": 0.00038595776463337217, ""0.01"": 0.0003859583474319508, ""1.0"": 0.0003874052826888634, ""100.0"": 0.00039155305814706203}"
16,11,32,3,21,0,0,,,{}
16,11,32,4,27,0,0,,,{}
16,11,32,5,20,2,2,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,32,6,13,1,1,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,32,7,5,2,2,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,32,8,19,2,2,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,32,9,11,1,1,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,32,10,7,1,1,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,32,11,9,1,1,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,32,12,18,0,0,,,{}
16,11,32,13,21,4,4,1e-08,1.0132279072419412e-09,"{""0.0"": 0.00039188487552047774, ""1e-08"": 0.0003918848754016675, ""1e-06"": 0.0003918848791487084, ""0.0001"": 0.00039188487867918644, ""0.01"": 0.00039188541438503585, ""1.0"": 0.00039314376559496545, ""100.0"": 0.0003964730749446945}"
16,11,32,14,33,6,6,1e-08,1.0571490643417558e-09,"{""0.0"": 0.0003781979012021692, ""1e-08"": 0.00037819790038030594, ""1e-06"": 0.0003781979030333758, ""0.0001"": 0.0003781979019214152, ""0.01"": 0.0003781983935403604, ""1.0"": 0.00037939378826235156, ""100.0"": 0.00038278742094230347}"
16,11,32,15,10,1,1,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,64,0,11,8,8,0.0001,1.1122378658562032e-05,"{""0.0"": 0.0003221921215180873, ""1e-08"": 0.0003221921225894408, ""1e-06"": 0.0003221921185588498, ""0.0001"": 0.0003221921183616083, ""0.01"": 0.0003221937389970631, ""1.0"": 0.00032617478070069814, ""100.0"": 0.0003377586947937824}"
16,11,64,1,21,3,3,0.0001,1.015506630723088e-05,"{""0.0"": 0.0003168924464609015, ""1e-08"": 0.0003168924455135607, ""1e-06"": 0.00031689244616685806, ""0.0001"": 0.00031689244370189363, ""0.01"": 0.00031689252534503797, ""1.0"": 0.0003171120400747908, ""100.0"": 0.0003178005591149421}"
16,11,64,2,10,6,6,1e-06,1.0459914881035642e-07,"{""0.0"": 0.0003623943940769603, ""1e-08"": 0.00036239439364267226, ""1e-06"": 0.00036239439220924196, ""0.0001"": 0.00036239439426975697, ""0.01"": 0.000362394948400132, ""1.0"": 0.0003637761181310646, ""100.0"": 0.0003677496580036046}"
16,11,64,3,21,0,0,,,{}
16,11,64,4,27,2,2,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
16,11,64,5,20,4,4,0.0001,1.049146485579817e-05,"{""0.0"": 0.00034903080253432964, ""1e-08"": 0.00034903080333903636, ""1e-06"": 0.000349030802588143, ""0.0001"": 0.00034903080233461976, ""0.01"": 0.0003490309245357111, ""1.0"": 0.00034934434325199114, ""100.0"": 0.00035025305149622766}"
16,11,64,6,13,4,4,1e-08,9.674791841570614e-10,"{""0.0"": 0.00037043895387893597, ""1e-08"": 0.0003704389520886273, ""1e-06"": 0.00037043895656721173, ""0.0001"": 0.00037043895631432857, ""0.01"": 0.00037043942887717707, ""1.0"": 0.00037166074719111345, ""100.0"": 0.00037555323719948985}"
16,11,64,7,5,3,3,1e-08,9.54819976925231e-10,"{""0.0"": 0.00031211772776693796, ""1e-08"": 0.0003121177275136808, ""1e-06"": 0.00031211772803223817, ""0.0001"": 0.00031211773083120615, ""0.01"": 0.0003121177579580229, ""1.0"": 0.0003121923081834502, ""100.0"": 0.0003124387343566429}"
16,11,64,8,19,5,5,0.0001,1.1714707602931026e-05,"{""0.0"": 0.0003574378310670233, ""1e-08"": 0.00035743783028245607, ""1e-06"": 0.0003574378274548415, ""0.0001"": 0.00035743782641989844, ""0.01"": 0.00035743823152515567, ""1.0"": 0.0003586529021254016, ""100.0"": 0.0003633031103586867}"
16,11,64,9,11,2,2,0.0,0.0,"{""0.0"": NaN, ""1e-08"": NaN, ""1e-06"": NaN, ""0.0001"": NaN, ""0.01"": NaN, ""1.0"": NaN, ""100.0"": NaN}"
