N,log_N,num_coeff_moduli,total_coeff_bits,first_coeff_bit,last_coeff_bit,scale_bits,scale_to_total_ratio,proj_dim,batch_size,vector_packing_ratio,chain_name,batch_time_ms_mean,batch_time_ms_std
8192,13,4,160,50,50,30,0.1875,64,64,0.015625,4-mod_balanced,451.8532333119462,1.2177714863515008
8192,13,4,160,50,50,30,0.1875,64,256,0.015625,4-mod_balanced,1838.7280999838065,31.19385655668876
8192,13,4,160,50,50,30,0.1875,128,16,0.03125,4-mod_balanced,127.79596673014264,0.14509119889061128
8192,13,4,160,50,50,30,0.1875,128,64,0.03125,4-mod_balanced,512.231000000611,4.463893786118263
8192,13,4,160,50,50,30,0.1875,128,256,0.03125,4-mod_balanced,2071.7893668139973,26.449359289597723
8192,13,4,160,50,50,30,0.1875,192,16,0.046875,4-mod_balanced,231.32639991429946,2.01211508406261
8192,13,4,160,50,50,30,0.1875,192,64,0.046875,4-mod_balanced,921.7646666802466,7.740916498850066
8192,13,4,160,50,50,30,0.1875,192,256,0.046875,4-mod_balanced,3778.976733253027,19.86551016245597
8192,13,4,160,50,50,30,0.1875,256,16,0.0625,4-mod_balanced,143.87569995597005,1.1164159172439188
8192,13,4,160,50,50,30,0.1875,256,64,0.0625,4-mod_balanced,590.5210999771953,19.794187831266164
8192,13,4,160,50,50,30,0.1875,256,256,0.0625,4-mod_balanced,2361.6908333109072,14.28555393909481
8192,13,4,160,50,50,30,0.1875,320,16,0.078125,4-mod_balanced,253.55513331790766,9.400080487247326
8192,13,4,160,50,50,30,0.1875,320,64,0.078125,4-mod_balanced,991.0964334073166,5.5950094994769275
8192,13,4,160,50,50,30,0.1875,320,256,0.078125,4-mod_balanced,3933.285800041631,30.197308845993597
8192,13,3,160,60,60,40,0.25,32,16,0.0078125,3-mod_high,52.129933377727866,0.9967078457691144
8192,13,3,160,60,60,40,0.25,32,64,0.0078125,3-mod_high,209.44076652328172,1.6224192010531324
8192,13,3,160,60,60,40,0.25,32,256,0.0078125,3-mod_high,835.1847666781396,1.4290754157539771
8192,13,3,160,60,60,40,0.25,64,16,0.015625,3-mod_high,59.9653332028538,1.0516500318647015
8192,13,3,160,60,60,40,0.25,64,64,0.015625,3-mod_high,238.76193336521587,0.9320257059342032
8192,13,3,160,60,60,40,0.25,64,256,0.015625,3-mod_high,959.3346999026835,0.2772070401265485
8192,13,3,160,60,60,40,0.25,128,16,0.03125,3-mod_high,69.56169987097383,0.6925705560704644
8192,13,3,160,60,60,40,0.25,128,64,0.03125,3-mod_high,269.33793335532147,2.8907899028273643
8192,13,3,160,60,60,40,0.25,128,256,0.03125,3-mod_high,1077.8555998889108,5.033965426458384
8192,13,3,160,60,60,40,0.25,192,16,0.046875,3-mod_high,119.67046667511265,0.5352476235451397
8192,13,3,160,60,60,40,0.25,192,64,0.046875,3-mod_high,485.6415332760662,4.562859902025406
8192,13,3,160,60,60,40,0.25,192,256,0.046875,3-mod_high,1921.5557999753703,10.598419549207295
8192,13,3,160,60,60,40,0.25,256,16,0.0625,3-mod_high,75.6289332639426,0.4744220029002192
8192,13,3,160,60,60,40,0.25,256,64,0.0625,3-mod_high,304.0192999566595,1.6147658904718134
8192,13,3,160,60,60,40,0.25,256,256,0.0625,3-mod_high,1207.9304667034496,2.1171981869734924
8192,13,3,160,60,60,40,0.25,320,16,0.078125,3-mod_high,127.62010004371405,0.9608575885556874
8192,13,3,160,60,60,40,0.25,320,64,0.078125,3-mod_high,515.546000096947,0.6154026755618381
8192,13,3,160,60,60,40,0.25,320,256,0.078125,3-mod_high,2051.62586675336,12.813244845136339
16384,14,3,100,40,40,20,0.2,32,16,0.00390625,3-mod_balanced,110.97959995580216,1.2932311115395512
16384,14,3,100,40,40,20,0.2,32,64,0.00390625,3-mod_balanced,444.9834333111842,3.0336696090957442
16384,14,3,100,40,40,20,0.2,32,256,0.00390625,3-mod_balanced,1757.5453333556652,7.303493138650214
16384,14,3,100,40,40,20,0.2,64,16,0.0078125,3-mod_balanced,129.60503320209682,1.3974706980128406
16384,14,3,100,40,40,20,0.2,64,64,0.0078125,3-mod_balanced,506.9931000471115,0.5922343932499097
16384,14,3,100,40,40,20,0.2,64,256,0.0078125,3-mod_balanced,2036.8422667185466,16.531493067002064
16384,14,3,100,40,40,20,0.2,128,16,0.015625,3-mod_balanced,142.65333333363137,1.5341805064702543
16384,14,3,100,40,40,20,0.2,128,64,0.015625,3-mod_balanced,582.6237666575859,17.930871134600974
16384,14,3,100,40,40,20,0.2,128,256,0.015625,3-mod_balanced,2284.4484000621983,13.518890963839644
16384,14,3,100,40,40,20,0.2,192,16,0.0234375,3-mod_balanced,252.02983330624798,1.2541241799508194
16384,14,3,100,40,40,20,0.2,192,64,0.0234375,3-mod_balanced,1005.47863325725,1.8539971829211817
16384,14,3,100,40,40,20,0.2,192,256,0.0234375,3-mod_balanced,4047.9988333148262,39.44139196977277
16384,14,3,100,40,40,20,0.2,256,16,0.03125,3-mod_balanced,162.8680333184699,1.7630809322748129
16384,14,3,100,40,40,20,0.2,256,64,0.03125,3-mod_balanced,649.3606667499989,9.098504616157818
16384,14,3,100,40,40,20,0.2,256,256,0.03125,3-mod_balanced,2574.6629999484867,40.67561859172268
16384,14,3,100,40,40,20,0.2,320,16,0.0390625,3-mod_balanced,267.6666666908811,1.2350768431396109
16384,14,3,100,40,40,20,0.2,320,64,0.0390625,3-mod_balanced,1070.1956999643396,3.4824221331823018
16384,14,3,100,40,40,20,0.2,320,256,0.0390625,3-mod_balanced,4286.621633373822,3.256593597049799
16384,14,3,130,50,50,30,0.23076923076923078,32,16,0.00390625,3-mod_higher,110.66966666840017,0.5478779248240907
16384,14,3,130,50,50,30,0.23076923076923078,32,64,0.00390625,3-mod_higher,440.8447999351968,1.7529697001743139
16384,14,3,130,50,50,30,0.23076923076923078,32,256,0.00390625,3-mod_higher,1776.7269333514075,12.409382522698818
16384,14,3,130,50,50,30,0.23076923076923078,64,16,0.0078125,3-mod_higher,128.37606660711268,3.2247433238504404
16384,14,3,130,50,50,30,0.23076923076923078,64,64,0.0078125,3-mod_higher,507.9110666022946,3.651568743351986
16384,14,3,130,50,50,30,0.23076923076923078,64,256,0.0078125,3-mod_higher,2017.3473999990772,4.980853141142515
16384,14,3,130,50,50,30,0.23076923076923078,128,16,0.015625,3-mod_higher,141.68250001966953,0.7051449115689888
16384,14,3,130,50,50,30,0.23076923076923078,128,64,0.015625,3-mod_higher,567.6772334457686,4.980927719206267
16384,14,3,130,50,50,30,0.23076923076923078,128,256,0.015625,3-mod_higher,2273.665166615198,2.916450317520619
16384,14,3,130,50,50,30,0.23076923076923078,192,16,0.0234375,3-mod_higher,248.90936670514444,1.1183825563992917
16384,14,3,130,50,50,30,0.23076923076923078,192,64,0.0234375,3-mod_higher,1008.3506333176047,2.3991927040565497
