seed,query_idx,total_ms
202,438,279.58996936911717
202,439,248.38496924610808
202,440,270.09066933067515
202,441,250.823469304014
202,442,258.0837690574117
202,443,251.5679690358229
202,444,261.3723691855557
202,445,278.47396925324574
202,446,232.42836904944852
202,447,252.9603691608645
202,448,264.02436912292615
202,449,250.52986916387454
202,450,247.37276922212914
202,451,256.81256915675476
202,452,237.62006911681965
202,453,238.85486920597032
202,454,261.72476907493547
202,455,263.91806912841275
202,456,242.12876910576597
202,457,242.3887692228891
202,458,254.9753693700768
202,459,265.8068690751679
202,460,278.66146916756406
202,461,259.1684690513648
202,462,234.23286916920915
202,463,272.4320689984597
202,464,283.67576928110793
202,465,255.96976925851777
202,466,237.65756928594783
202,467,272.87786913337186
202,468,236.0811691568233
202,469,242.621569132898
202,470,292.3980692238547
202,471,249.8937690933235
202,472,261.94986927555874
202,473,234.8852692474611
202,474,283.74146919930354
202,475,259.8292691935785
202,476,265.4121692129411
202,477,260.73566934326664
202,478,215.63146909000352
202,479,280.30836925143376
202,480,286.71656938502565
202,481,258.7431691889651
202,482,224.1224690177478
202,483,288.5755691048689
202,484,292.92626928770915
202,485,298.5740692191757
202,486,244.72936911741272
202,487,234.04236923204735
202,488,245.9605691791512
202,489,263.6565691162832
202,490,275.7865692791529
202,491,236.91346909152344
202,492,268.57996911974624
202,493,269.7529692039825
202,494,229.88346934551373
202,495,245.89076911332086
202,496,256.030269137118
202,497,210.54446923779324
202,498,224.30106898071244
202,499,158.95356906810775
