cells,m,method,n_seeds,n_targets_per_seed,mean_anchors_in_target_cell,cosine_mean,cosine_ci_low,cosine_ci_high,r1_mean,r1_ci_low,r1_ci_high,r10_mean,r10_ci_low,r10_ci_high,coverage_any_mean,coverage_any_ci_low,coverage_any_ci_high,coverage_full_rank_mean,coverage_full_rank_ci_low,coverage_full_rank_ci_high
1,8,polar_ols,3,256,8.0,0.03939004002823054,0.03307993257653969,0.045853719072914356,0.0026041666666666665,0.0,0.0078125,0.009114583333333334,0.0026041666666666665,0.01953125,1.0,1.0,1.0,0.0,0.0,0.0
1,8,procrustes_partial,3,256,8.0,0.029688408370114643,0.02357715396008465,0.036000646502254166,0.005208333333333333,0.0,0.014322916666666666,0.006510416666666667,0.0013020833333333333,0.015006510416666636,1.0,1.0,1.0,0.0,0.0,0.0
1,8,ridge_alpha0,3,256,8.0,0.17385237394637207,0.1706016423600812,0.1767840673017385,0.07421875,0.052083333333333336,0.09895833333333333,0.2552083333333333,0.22265625,0.2871419270833333,1.0,1.0,1.0,0.0,0.0,0.0
1,8,ridge_cv,3,256,8.0,0.1738523738794953,0.1703835583552279,0.17708553894852483,0.07421875,0.05139973958333333,0.09895833333333333,0.2552083333333333,0.22457682291666667,0.2910481770833333,1.0,1.0,1.0,0.0,0.0,0.0
1,16,no_attack,3,256,16.0,-0.0059497628455588225,-0.01017243916219696,-0.0014511839498258258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,16,ols_pinv,3,256,16.0,0.24969678682616267,0.24601096882952572,0.25292658851381516,0.5169270833333334,0.4661458333333333,0.5840169270833333,0.8880208333333334,0.8475911458333333,0.9271484374999999,1.0,1.0,1.0,0.0,0.0,0.0
1,16,oracle_true_residual,3,256,16.0,1.0000000079849027,1.0000000026145925,1.0000000133504268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,16,polar_ols,3,256,16.0,0.060566850079836275,0.05631420610414275,0.06517987527655117,0.006510416666666667,0.0,0.015006510416666636,0.020833333333333332,0.01171875,0.033854166666666664,1.0,1.0,1.0,0.0,0.0,0.0
1,16,procrustes_partial,3,256,16.0,0.06574507992247557,0.060357328096609306,0.07102844787386231,0.00390625,0.0,0.010416666666666666,0.01953125,0.009114583333333334,0.032552083333333336,1.0,1.0,1.0,0.0,0.0,0.0
1,16,ridge_alpha0,3,256,16.0,0.24969678682616267,0.24619148837183974,0.2526610460486371,0.5169270833333334,0.46676432291666664,0.5755859374999999,0.8880208333333334,0.84765625,0.9270833333333334,1.0,1.0,1.0,0.0,0.0,0.0
