suite,encoder,dataset,n_corpus,n_queries,dimension,score_max_abs_error,top10_exact_fraction,top100_exact_fraction,method,ndcg10,recall10,recall100
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_shard_centered_router_dpub48_kc100,0.2725876018628721,0.12411449485842714,0.2097887478138053
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_shard_uncentered_router_dpub48_kc100,0.27897391002200794,0.12868022974642818,0.21927603768868092
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,legacy_hybrid_dpub48_kc200,0.28444715716202823,0.1322218800457217,0.21882448136524835
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_shard_centered_router_dpub48_kc200,0.28444715716202823,0.1322218800457217,0.21882448136524835
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_shard_uncentered_router_dpub48_kc200,0.2859561183798642,0.1340536119635768,0.22022699772233365
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,legacy_hybrid_dpub96_kc100,0.2960658190803537,0.14054138790974074,0.24168055555110576
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_shard_centered_router_dpub96_kc100,0.2960658190803537,0.14054138790974074,0.24168055555110576
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_shard_uncentered_router_dpub96_kc100,0.2990918022811276,0.1439850645727965,0.2427739341656706
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,legacy_hybrid_dpub96_kc200,0.30041350790617727,0.14568744763974223,0.24150085380782282
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_shard_centered_router_dpub96_kc200,0.30041350790617727,0.14568744763974223,0.24150085380782282
beir,multilingual-e5-small,nfcorpus,3633,323,384,4.410312668401417e-07,0.9659442724458205,0.7492260061919505,corrected_shard_uncentered_router_dpub96_kc200,0.3008082148522895,0.14582156347999375,0.2482350762792745
beir,multilingual-e5-small,arguana,8674,1401,384,4.5065040543690316e-07,0.9785867237687366,0.8643825838686653,raw,0.3576589612389282,0.7237687366167024,0.9628836545324768
