target_cohort,method,m,n_rows,n_runs,n_pii_rows,token_f1_mean,token_f1_ci_low,token_f1_ci_high,bleu_mean,bleu_ci_low,bleu_ci_high,exact_match_mean,exact_match_ci_low,exact_match_ci_high,normalized_exact_match_mean,normalized_exact_match_ci_low,normalized_exact_match_ci_high,pii_recall_mean,pii_recall_ci_low,pii_recall_ci_high,pii_identifier_recall_mean,pii_identifier_recall_ci_low,pii_identifier_recall_ci_high,pii_name_recall_mean,pii_name_recall_ci_low,pii_name_recall_ci_high,pii_email_recall_mean,pii_email_recall_ci_low,pii_email_recall_ci_high,pii_phone_recall_mean,pii_phone_recall_ci_low,pii_phone_recall_ci_high,pii_card_recall_mean,pii_card_recall_ci_low,pii_card_recall_ci_high,geometry_cosine_mean,geometry_cosine_ci_low,geometry_cosine_ci_high,recovered_text_embedding_cosine_mean,recovered_text_embedding_cosine_ci_low,recovered_text_embedding_cosine_ci_high
largest_pii,ols_m16,16,48,4,48,0.40984886897909006,0.36351190334553585,0.4566624455988803,0.12643551625811358,0.08638245919616051,0.17590139116321754,0.0,0.0,0.0,0.0,0.0,0.0,0.33076923076923076,0.2571428571428571,0.4,0.0,0.0,0.0,0.8958333333333334,0.7083333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.993653359512488,0.9886343492815892,0.9981312885259589,0.9189149290323257,0.8996830053627491,0.9394350687041878
largest_pii,ols_m32,32,48,4,48,0.4186015407492169,0.3830810085178995,0.4556365561721165,0.08347073698758757,0.06387462281865638,0.10507890277157225,0.0,0.0,0.0,0.0,0.0,0.0,0.3230769230769231,0.27415689149560113,0.36923076923076925,0.0,0.0,0.0,0.875,0.7083333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9957456638415655,0.9927016830071808,0.9984736781567335,0.9191567574938139,0.9031330325951179,0.93467648755759
largest_pii,ols_m64,64,48,4,48,0.40882905686129073,0.311597212685606,0.5139032318811178,0.09623290776627148,0.07294711847223725,0.12315017334958127,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.24285714285714285,0.3667105263157892,0.0,0.0,0.0,0.8333333333333334,0.6666666666666666,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.99775480479002,0.9963291959216197,0.9990238083526493,0.8981689549982548,0.8398949952796101,0.9322418653716643
largest_pii,ols_m8,8,48,4,48,0.4001301307278662,0.357413204510825,0.44439619523709334,0.08623934310406599,0.059595897723560116,0.12560193455686727,0.0,0.0,0.0,0.0,0.0,0.0,0.26153846153846155,0.19045566502463054,0.3235294117647059,0.0,0.0,0.0,0.7083333333333334,0.5,0.875,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9924060429135958,0.986329214523236,0.9979088199635348,0.9007966816425323,0.8804767815396191,0.9200503683338563
largest_pii,oracle_residual,,48,4,48,0.4118444267258923,0.34312410544702215,0.4860537198872329,0.11288892632255883,0.0797142276112397,0.1531525712750322,0.0,0.0,0.0,0.0,0.0,0.0,0.2923076923076923,0.22727272727272727,0.3492063492063492,0.0,0.0,0.0,0.7916666666666666,0.625,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.0000000149011612,0.9999999751647314,1.0000000546375911,0.9282481397191683,0.8977600364014506,0.9530693267161647
largest_pii,prefix_only,,48,4,48,0.4031225328130505,0.3418209632930443,0.45986305186705495,0.10319822325610141,0.0736080780889933,0.13476608828907474,0.0,0.0,0.0,0.0,0.0,0.0,0.2923076923076923,0.20634920634920634,0.35384615384615387,0.0,0.0,0.0,0.7916666666666666,0.5416666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.990890252093474,0.9839449449131886,0.9973396888623635,0.9088067685564359,0.8794288652017712,0.9348984647542238
largest_pii,procrustes_m32,32,48,4,48,0.3404057354296322,0.2368006431444963,0.4579912584334396,0.06426078918454343,0.03884437762577057,0.10156295548640486,0.0,0.0,0.0,0.0,0.0,0.0,0.24615384615384617,0.14030364372469636,0.32857142857142857,0.0,0.0,0.0,0.6666666666666666,0.375,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9915239798525969,0.9854592551787694,0.9970016789312164,0.8846565696100394,0.831481830154856,0.9283267543961604
largest_pii,procrustes_m64,64,48,4,48,0.33688343065066,0.2759484278358133,0.38955529168472997,0.05917893073972591,0.044871442662982056,0.07723416443183395,0.0,0.0,0.0,0.0,0.0,0.0,0.25384615384615383,0.16666666666666666,0.3278752561475409,0.0,0.0,0.0,0.6875,0.4166666666666667,0.875,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9955242003003756,0.9927110090851783,0.9980251335849365,0.8624294201532999,0.8227823106572032,0.8919193724170327
largest_pii,raw,,48,4,48,0.4118444267258923,0.3419238589807914,0.4907224361386538,0.11288892632255883,0.08015373027754888,0.14955259161121995,0.0,0.0,0.0,0.0,0.0,0.0,0.2923076923076923,0.23076923076923078,0.3492063492063492,0.0,0.0,0.0,0.7916666666666666,0.6239583333333334,0.9583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9999999975164732,0.9999999701976776,1.0000000248352687,0.9282481397191683,0.8989989325404167,0.9538372307394941
largest_pii,unknown_key,,48,4,48,0.2976781275843495,0.18552555905266066,0.4068685428910452,0.05273937135470071,0.031709472711594314,0.0765781402530869,0.0,0.0,0.0,0.0,0.0,0.0,0.16923076923076924,0.06451612903225806,0.2676056338028169,0.0,0.0,0.0,0.4583333333333333,0.16666666666666666,0.75,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.9822442481915156,0.9689961271360517,0.9947682507957022,0.8344361061851183,0.7473886827627818,0.907115213945508
