run_id,geometry_id,method,m,n,n_pii,token_f1_mean,token_f1_ci_low,token_f1_ci_high,bleu_mean,bleu_ci_low,bleu_ci_high,exact_match_mean,exact_match_ci_low,exact_match_ci_high,normalized_exact_match_mean,normalized_exact_match_ci_low,normalized_exact_match_ci_high,pii_recall_mean,pii_recall_ci_low,pii_recall_ci_high,pii_identifier_recall_mean,pii_identifier_recall_ci_low,pii_identifier_recall_ci_high,pii_name_recall_mean,pii_name_recall_ci_low,pii_name_recall_ci_high,pii_email_recall_mean,pii_email_recall_ci_low,pii_email_recall_ci_high,pii_phone_recall_mean,pii_phone_recall_ci_low,pii_phone_recall_ci_high,pii_card_recall_mean,pii_card_recall_ci_low,pii_card_recall_ci_high,geometry_cosine_mean,geometry_cosine_ci_low,geometry_cosine_ci_high,recovered_text_embedding_cosine_mean,recovered_text_embedding_cosine_ci_low,recovered_text_embedding_cosine_ci_high
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,raw,,12,12,0.37267806267806264,0.30120828245828246,0.42872536799620137,0.09485479856336491,0.06173607443980295,0.13083077030554663,0.0,0.0,0.0,0.0,0.0,0.0,0.2903225806451613,0.18181818181818182,0.38724078341013746,0.0,0.0,0.0,0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,1.0000000099341075,0.9999999849746625,1.00000003973643,0.9098409364620844,0.8861408747732639,0.9338819872587919
p192_c16_cs17_ks101_largest_pii,p192_c16_cs17,unknown_key,,12,12,0.23684448429282012,0.17218353028188574,0.30161199822752965,0.04368882970763253,0.02876426919440747,0.059579429936817356,0.0,0.0,0.0,0.0,0.0,0.0,0.12903225806451613,0.03330645161290323,0.23333333333333334,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.97043310602506,0.9681465371201435,0.9726196675250928,0.7582102864980698,0.6833023084948461,0.8219403116653363
p192_c16_cs17_ks103_largest,p192_c16_cs17,ols_m16,16,12,0,0.3233500482428074,0.24968711786112696,0.40849024470732165,0.05635850953176976,0.029913625339782944,0.09480492315641255,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8948360234498978,0.8752903717259566,0.9132077821840843,0.7419346769650778,0.67357114503781,0.8053723090638716
p192_c16_cs17_ks103_largest,p192_c16_cs17,ols_m32,32,12,0,0.3456284128538742,0.27162039171448865,0.41956875768868346,0.049387691459932735,0.03316506857738019,0.06972212434641069,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9014164557059606,0.8828584682196379,0.9184963542968035,0.7220971981684366,0.670436762397488,0.77094780827562
p192_c16_cs17_ks103_largest,p192_c16_cs17,ols_m64,64,12,0,0.37813079727984006,0.315714332560908,0.4400129824665465,0.047353041888941516,0.027980474568078416,0.0708179126532122,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9155486822128296,0.8990832015872001,0.930338241532445,0.7765824844439825,0.7434687702606122,0.8116147451102732
p192_c16_cs17_ks103_largest,p192_c16_cs17,ols_m8,8,12,0,0.34300406885657225,0.2786405891213965,0.419989027120185,0.05005107782815091,0.030393843990611694,0.07464895253730958,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8914691607157389,0.8720045595119397,0.9102251915882031,0.7482518156369528,0.6967282341172297,0.8002043668180704
p192_c16_cs17_ks103_largest,p192_c16_cs17,oracle_residual,,12,0,0.6694715126217484,0.5821701290272208,0.7587541448938763,0.20697538160228027,0.11015339397470061,0.3169116657711165,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9999999552965164,0.9999999155600866,0.9999999950329462,0.9057780702908834,0.8723954953253269,0.9392870556563139
p192_c16_cs17_ks103_largest,p192_c16_cs17,prefix_only,,12,0,0.33022537999092466,0.2566452114466256,0.40336400715467385,0.0423015913855348,0.029320065095113767,0.05987066605593388,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8875142286221186,0.8673383558789889,0.9071832039703925,0.7435980786879858,0.6988073840737343,0.787537166600426
p192_c16_cs17_ks103_largest,p192_c16_cs17,procrustes_m32,32,12,0,0.179312858696165,0.13076156791853102,0.22727719758169151,0.021807432967226228,0.017449695206169732,0.02685120208839503,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8145720014969507,0.7817275853206713,0.8445455783357223,0.5843119571606318,0.5137166157364845,0.6504773840308189
p192_c16_cs17_ks103_largest,p192_c16_cs17,procrustes_m64,64,12,0,0.20114767271850076,0.15479708029420491,0.25444881230173366,0.02271777380635359,0.01636303531352673,0.028521761631835358,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8396195570627848,0.8100683140257995,0.866572044044733,0.5935328975319862,0.5091882046932975,0.6733854052921137
