suite,encoder,dataset,epsilon,sigma,privacy,ndcg10,ndcg10_ci95_low,ndcg10_ci95_high,recall10,recall10_ci95_low,recall10_ci95_high,recall100,recall100_ci95_low,recall100_ci95_high,score_pearson,score_pearson_ci95_low,score_pearson_ci95_high,score_rmse,score_rmse_ci95_low,score_rmse_ci95_high,clean_top10_overlap,clean_top10_overlap_ci95_low,clean_top10_overlap_ci95_high
beir,multilingual-e5-base,nfcorpus,1.0,8.449366228011328,formal_bounded_record_dp,0.009329649236157046,0.0055233789585294535,0.013996776064428397,0.0018823856500410116,0.0010982973894744761,0.002986152086561263,0.022464994173857236,0.01801404239060416,0.027650115971040955,0.005694875883738404,-0.003087930490806397,0.02069903651666065,0.7571822845859135,0.7550344859908642,0.7593217269644043,0.0033023735810113523,0.0012383900928792573,0.005675954592363261
beir,multilingual-e5-base,nfcorpus,2.0,4.460957003325374,formal_bounded_record_dp,0.009480570642993572,0.005908085187976103,0.014050074808195248,0.0019578236430282956,0.0011358852712066252,0.0030761923388719736,0.022480463076228568,0.018155268614731785,0.02763560392323359,0.007456836999313492,-0.0014917788670814882,0.022334770725240545,0.7542860303060441,0.7520927818181039,0.7564894853541145,0.0033023735810113523,0.0012383900928792573,0.005675954592363261
beir,multilingual-e5-base,nfcorpus,4.0,2.3870395613531454,formal_bounded_record_dp,0.0097672895060369,0.006184401833549636,0.014440810849249523,0.0020622311057412485,0.0012116153449112522,0.0031771511016228746,0.023304505315432395,0.019053848147961364,0.028298848637391953,0.010700050010698962,0.0018605142196633612,0.025923197305244648,0.7489559523207742,0.746837346238816,0.7510090684096568,0.003611971104231166,0.0017518059855521158,0.005882352941176471
beir,multilingual-e5-base,nfcorpus,8.0,1.3058720745872001,formal_bounded_record_dp,0.010065842245331028,0.006214584262767395,0.014484979683432429,0.002094216961933174,0.001226642252950598,0.0031746522405190635,0.02383371019160108,0.01951565411998994,0.02909091713145859,0.016477130228603355,0.007461999695503097,0.03151560117219009,0.7394683439010394,0.737438294842114,0.7414967698213839,0.00392156862745098,0.0018575851393188858,0.006191950464396286
beir,multilingual-e5-base,nfcorpus,16.0,0.73722405290227,formal_bounded_record_dp,0.010021490850715556,0.006146283673428799,0.01455159603883976,0.002155844060319786,0.0012501918333823851,0.0033050506015190684,0.024942948210306626,0.020725960652433022,0.02975665068637088,0.0263237638662436,0.017362113163825275,0.04107144551976793,0.7233354290632853,0.7211888530725356,0.725297460564552,0.004747162022703819,0.0026831785345717237,0.007120743034055728
beir,multilingual-e5-base,nfcorpus,32.0,0.43237492535347166,formal_bounded_record_dp,0.010589506010791259,0.006605720333077713,0.015599486213339262,0.002469109882972548,0.0013161004356734474,0.00389117814004049,0.026788797974340015,0.02204747276256518,0.0324794056506983,0.04230783568078787,0.033242884369638466,0.056973253348236254,0.697328198252699,0.6952391933030548,0.6993896204639317,0.005159958720330238,0.003095975232198143,0.007739938080495356
beir,multilingual-e5-base,nfcorpus,64.0,0.26380843334171206,formal_bounded_record_dp,0.011869224312362626,0.007578920420233568,0.016979045641943684,0.0026419719705108534,0.0015641700716062924,0.004141776992876014,0.02966742784667239,0.023486746359657477,0.036672499884370484,0.06717626422201324,0.05786965580322251,0.08212050939775982,0.6576031029730066,0.6556983940966226,0.6594776096128369,0.006914344685242519,0.004024767801857585,0.01001031991744066
beir,multilingual-e5-base,nfcorpus,128.0,0.16683264581484528,formal_bounded_record_dp,0.013775008000250855,0.009317897147149142,0.01834375578177203,0.0030476146769804926,0.0018172202161933777,0.004530622009941053,0.038660892526321086,0.03049816827629439,0.04844708996737909,0.10484379281835432,0.09522720561071496,0.11918822624944723,0.6000120363911348,0.5981776753472302,0.6017371501340263,0.009907120743034058,0.0055727554179566575,0.014241486068111453
beir,multilingual-e5-base,nfcorpus,256.0,0.10865852949393662,formal_bounded_record_dp,0.019602688542976497,0.013505081319497658,0.026262913187191605,0.0064547270484051535,0.0030441089828838817,0.012168678747490539,0.0502658600596061,0.04054878321645561,0.06214171798629527,0.16140775261843407,0.1515079241610695,0.1754724462788111,0.5212319171565616,0.5196776527667839,0.5227963217674387,0.018266253869969044,0.011764705882352943,0.024460784313725482
beir,multilingual-e5-base,nfcorpus,512.0,0.0723951243591535,formal_bounded_record_dp,0.038510931339396384,0.030206438065117407,0.04787428823429512,0.016303282970205425,0.010668501544409773,0.024434253327700283,0.07071560364669226,0.059176708869714253,0.08433526100047108,0.24629753167741703,0.23619940338431183,0.25770021347479766,0.4217756940114713,0.42046562045471275,0.4229410863217627,0.03859649122807017,0.031269349845201244,0.04592621259029926
