suite,encoder,dataset,epsilon,sigma,gallery_size,chance_r1,chance_r10,linkage_r1,linkage_r1_ci95_low,linkage_r1_ci95_high,linkage_r10,linkage_r10_ci95_low,linkage_r10_ci95_high,pairwise_auc_contribution,pairwise_auc_contribution_ci95_low,pairwise_auc_contribution_ci95_high
beir,multilingual-e5-base,nfcorpus,256.0,0.10865852949393662,3633,0.0002752546105147261,0.0027525461051472614,0.6875,0.6328125,0.7408854166666666,0.92578125,0.89189453125,0.9557291666666667,0.998291015625,0.996826171875,0.9993489583333334
beir,multilingual-e5-base,nfcorpus,512.0,0.0723951243591535,3633,0.0002752546105147261,0.0027525461051472614,0.9830729166666666,0.9661458333333333,0.99609375,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,nfcorpus,1024.0,0.049054348512207455,3633,0.0002752546105147261,0.0027525461051472614,0.99609375,0.9895833333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,nfcorpus,2048.0,0.03364862959799442,3633,0.0002752546105147261,0.0027525461051472614,0.9986979166666666,0.9921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,nfcorpus,4096.0,0.023285155746839942,3633,0.0002752546105147261,0.0027525461051472614,0.9986979166666666,0.9921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,nfcorpus,8192.0,0.01621503157066274,3633,0.0002752546105147261,0.0027525461051472614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,nfcorpus,16384.0,0.011342138868479306,3633,0.0002752546105147261,0.0027525461051472614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,nfcorpus,32768.0,0.007958795070825649,3633,0.0002752546105147261,0.0027525461051472614,0.9986979166666666,0.9921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
beir,multilingual-e5-base,scifact,0.5,16.1152530766871,5000,0.0002,0.002,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0078125,0.5030924479166666,0.46655069986979164,0.5385843912760416
beir,multilingual-e5-base,scifact,1.0,8.449366228011328,5000,0.0002,0.002,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0078125,0.5108235677083334,0.476318359375,0.5442708333333333
beir,multilingual-e5-base,scifact,2.0,4.460957003325374,5000,0.0002,0.002,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0078125,0.5215657552083334,0.4871337890625,0.5542073567708333
beir,multilingual-e5-base,scifact,4.0,2.3870395613531454,5000,0.0002,0.002,0.0,0.0,0.0,0.0013020833333333333,0.0,0.0078125,0.55615234375,0.5220458984374999,0.5893615722656249
beir,multilingual-e5-base,scifact,8.0,1.3058720745872001,5000,0.0002,0.002,0.0,0.0,0.0,0.0026041666666666665,0.0,0.01171875,0.5941569010416666,0.5620869954427083,0.624755859375
beir,multilingual-e5-base,scifact,16.0,0.73722405290227,5000,0.0002,0.002,0.0,0.0,0.0,0.0078125,0.0,0.015657552083333155,0.6695963541666666,0.644122314453125,0.69539794921875
beir,multilingual-e5-base,scifact,32.0,0.43237492535347166,5000,0.0002,0.002,0.0026041666666666665,0.0,0.0078125,0.036458333333333336,0.018229166666666664,0.06119791666666666,0.7782389322916666,0.751220703125,0.8054219563802083
