suite,encoder,dataset,seed,epsilon,sigma,n_queries,ndcg10,recall10,recall100,score_pearson,score_rmse,clean_top10_overlap,n_attack_targets,linkage_r1,linkage_r10,pairwise_auc
beir,multilingual-e5-base,scifact,31,1.0,8.449366228011328,300,0.0021145444299910483,0.006666666666666667,0.03,0.010917720064148432,0.7520609743449014,0.002666666666666667,256,0.0,0.0,0.48974609375
beir,multilingual-e5-base,scifact,11,2.0,4.460957003325374,300,0.0019570093336032618,0.0044444444444444444,0.021777777777777778,0.007325592216855504,0.7499791487075526,0.0020000000000000005,256,0.0,0.0,0.533447265625
beir,multilingual-e5-base,scifact,23,2.0,4.460957003325374,300,0.005201965282321694,0.008333333333333333,0.018333333333333333,0.017625498290300697,0.7496065202329489,0.0020000000000000005,256,0.0,0.00390625,0.531005859375
beir,multilingual-e5-base,scifact,31,2.0,4.460957003325374,300,0.0021145444299910483,0.006666666666666667,0.03,0.012938617941813096,0.7491836217740445,0.002666666666666667,256,0.0,0.0,0.500244140625
beir,multilingual-e5-base,scifact,11,4.0,2.3870395613531454,300,0.0021880874733586184,0.0044444444444444444,0.025111111111111112,0.011010700104509056,0.7446825381350548,0.0023333333333333335,256,0.0,0.0,0.5732421875
beir,multilingual-e5-base,scifact,23,4.0,2.3870395613531454,300,0.005350867480175686,0.008333333333333333,0.018333333333333333,0.021318346685317284,0.7443134014460469,0.0020000000000000005,256,0.0,0.00390625,0.560791015625
beir,multilingual-e5-base,scifact,31,4.0,2.3870395613531454,300,0.0021145444299910483,0.006666666666666667,0.03,0.016658580694964176,0.743888394380737,0.002666666666666667,256,0.0,0.0,0.534423828125
beir,multilingual-e5-base,scifact,11,8.0,1.3058720745872001,300,0.0022238681832206742,0.0044444444444444444,0.028444444444444442,0.017576794932252296,0.7352542927363602,0.0023333333333333335,256,0.0,0.0,0.596435546875
beir,multilingual-e5-base,scifact,23,8.0,1.3058720745872001,300,0.005503069766023775,0.008333333333333333,0.025,0.027892780106312357,0.7348915405735752,0.002333333333333333,256,0.0,0.0078125,0.610107421875
beir,multilingual-e5-base,scifact,31,8.0,1.3058720745872001,300,0.002190790609240011,0.006666666666666667,0.03666666666666667,0.023285172309481322,0.7344630271051819,0.002666666666666667,256,0.0,0.0,0.575927734375
